id,name,abbrev,logo,debut,retirement
1,Adelaide,ADE,/wp-content/themes/squiggle/assets/images/Adelaide.png,1991,9999
2,Brisbane Lions,BRI,/wp-content/themes/squiggle/assets/images/Brisbane.png,1987,9999
3,Carlton,CAR,/wp-content/themes/squiggle/assets/images/Carlton.png,1897,9999
4,Collingwood,COL,/wp-content/themes/squiggle/assets/images/Collingwood.png,1897,9999
5,Essendon,ESS,/wp-content/themes/squiggle/assets/images/Essendon.png,1897,9999
6,Fremantle,FRE,/wp-content/themes/squiggle/assets/images/Fremantle.png,1995,9999
7,Geelong,GEE,/wp-content/themes/squiggle/assets/images/Geelong.png,1897,9999
8,Gold Coast,GCS,/wp-content/themes/squiggle/assets/images/GoldCoast.png,2011,9999
9,Greater Western Sydney,GWS,/wp-content/themes/squiggle/assets/images/Giants.png,2012,9999
10,Hawthorn,HAW,/wp-content/themes/squiggle/assets/images/Hawthorn.png,1925,9999
11,Melbourne,MEL,/wp-content/themes/squiggle/assets/images/Melbourne.png,1897,9999
12,North Melbourne,NOR,/wp-content/themes/squiggle/assets/images/NorthMelbourne.png,1925,9999
13,Port Adelaide,POR,/wp-content/themes/squiggle/assets/images/PortAdelaide.png,1997,9999
14,Richmond,RIC,/wp-content/themes/squiggle/assets/images/Richmond.png,1908,9999
15,St Kilda,STK,/wp-content/themes/squiggle/assets/images/StKilda.png,1897,9999
16,Sydney,SYD,/wp-content/themes/squiggle/assets/images/Sydney.png,1897,9999
17,West Coast,WCE,/wp-content/themes/squiggle/assets/images/WestCoast.png,1987,9999
18,Western Bulldogs,WBD,/wp-content/themes/squiggle/assets/images/Bulldogs.png,1925,9999
